datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-02 04:00:00,short,sell,0.0,94985.8,999.95,-0.01,-0.01
2025-01-02 20:21:00,short,buy - stop_loss,97835.37400000001,0.0,969.9,-3.01,-3.01
2025-01-06 08:00:00,short,sell,0.0,99275.0,969.85,-0.01,-3.02
2025-01-06 12:00:00,short,buy - direction change,99238.8,0.0,970.16,0.03,-2.98
2025-01-06 12:00:00,long,buy,99238.8,0.0,970.11,-0.01,-2.99
2025-01-07 10:00:00,long,sell - direction change,0.0,101667.1,993.8,2.44,-0.55
2025-01-07 10:00:00,short,sell,0.0,101667.1,993.75,-0.01,-0.55
2025-01-07 17:48:00,short,buy - take_profit,96583.745,0.0,1043.38,5.0,4.44
2025-01-08 04:00:00,short,sell,0.0,96487.5,1043.33,-0.01,4.44
2025-01-08 06:00:00,short,buy - direction change,96445.9,0.0,1043.73,0.04,4.48
2025-01-08 06:00:00,long,buy,96445.9,0.0,1043.68,-0.01,4.47
2025-01-08 10:00:00,long,sell - direction change,0.0,95383.5,1032.13,-1.11,3.36
2025-01-08 10:00:00,short,sell,0.0,95383.5,1032.08,-0.01,3.36
2025-01-13 12:01:00,short,buy - take_profit,90614.325,0.0,1083.63,5.0,8.35
2025-01-15 12:00:00,short,sell,0.0,96722.3,1083.57,-0.01,8.35
2025-01-15 15:00:00,short,buy - stop_loss,99623.96900000001,0.0,1051.01,-3.01,5.34
2025-01-15 16:00:00,long,buy,98955.1,0.0,1050.96,-0.01,5.34
2025-01-17 02:00:00,long,sell - direction change,0.0,101644.6,1079.47,2.71,8.05
2025-01-17 02:00:00,short,sell,0.0,101644.6,1079.42,-0.01,8.05
2025-01-17 08:00:00,short,buy - direction change,101410.4,0.0,1081.85,0.23,8.27
2025-01-17 08:00:00,long,buy,101410.4,0.0,1081.8,-0.01,8.27
2025-01-17 22:00:00,long,sell - direction change,0.0,104559.4,1115.33,3.1,11.37
2025-01-17 22:00:00,short,sell,0.0,104559.4,1115.28,-0.01,11.36
2025-01-19 12:00:00,short,buy - direction change,104344.9,0.0,1117.51,0.2,11.56
2025-01-19 12:00:00,long,buy,104344.9,0.0,1117.45,-0.01,11.56
2025-01-19 20:00:00,long,sell - direction change,0.0,106231.4,1137.6,1.8,13.36
