datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-03 14:00:00,long,buy,96470.7,0.0,999.95,-0.01,-0.01
2025-01-06 15:15:00,long,sell - take_profit,0.0,101294.235,1049.9,5.0,4.99
2025-01-07 14:00:00,short,sell,0.0,100606.0,1049.84,-0.01,4.99
2025-01-08 06:36:00,short,buy - take_profit,95575.7,0.0,1102.28,5.0,9.98
2025-01-09 02:00:00,long,buy,94946.9,0.0,1102.22,-0.01,9.98
2025-01-09 13:38:00,long,sell - stop_loss,0.0,92098.49299999999,1069.1,-3.01,6.97
2025-01-09 20:00:00,long,buy,91859.5,0.0,1069.05,-0.01,6.96
2025-01-13 06:00:00,long,sell - direction change,0.0,94135.7,1095.49,2.47,9.44
2025-01-13 06:00:00,short,sell,0.0,94135.7,1095.43,-0.01,9.43
2025-01-13 08:00:00,short,buy - direction change,93557.9,0.0,1102.1,0.61,10.04
2025-01-13 08:00:00,long,buy,93557.9,0.0,1102.04,-0.01,10.04
2025-01-13 12:00:00,long,sell - stop_loss,0.0,90751.16299999999,1068.93,-3.01,7.03
2025-01-15 20:00:00,long,buy,99807.5,0.0,1068.88,-0.01,7.03
2025-01-17 16:39:00,long,sell - take_profit,0.0,104797.875,1122.26,5.0,12.02
2025-01-17 18:00:00,short,sell,0.0,104106.7,1122.21,-0.01,12.02
2025-01-20 00:00:00,short,buy - direction change,101310.7,0.0,1152.29,2.68,14.7
2025-01-20 00:00:00,long,buy,101310.7,0.0,1152.23,-0.01,14.69
2025-01-20 06:49:00,long,sell - take_profit,0.0,106376.235,1209.78,5.0,19.69
2025-01-20 12:00:00,short,sell,0.0,108271.9,1209.72,-0.01,19.68
2025-01-20 16:00:00,short,buy - direction change,105000.0,0.0,1246.22,3.02,22.7
2025-01-20 16:00:00,long,buy,105000.0,0.0,1246.16,-0.01,22.69
2025-01-20 17:06:00,long,sell - stop_loss,0.0,101850.0,1208.71,-3.0,19.69
2025-01-20 18:00:00,short,sell,0.0,102978.4,1208.65,-0.01,19.68
2025-01-21 00:00:00,short,buy - direction change,102258.7,0.0,1217.04,0.69,20.38
2025-01-21 00:00:00,long,buy,102258.7,0.0,1216.97,-0.01,20.37
2025-01-21 12:00:00,long,sell - direction change,0.0,103745.9,1234.61,1.45,21.82
2025-01-21 12:00:00,short,sell,0.0,103745.9,1234.55,-0.01,21.82
2025-01-21 14:00:00,short,buy - direction change,104455.7,0.0,1226.04,-0.69,21.13
2025-01-21 14:00:00,long,buy,104455.7,0.0,1225.98,-0.01,21.12
2025-01-23 10:44:00,long,sell - stop_loss,0.0,101322.029,1189.14,-3.01,18.12
2025-01-23 12:00:00,long,buy,101921.5,0.0,1189.08,-0.01,18.11
2025-01-23 16:00:00,long,sell - direction change,0.0,105235.5,1227.69,3.25,21.36
2025-01-23 16:00:00,short,sell,0.0,105235.5,1227.62,-0.01,21.35
2025-01-23 20:00:00,short,buy - direction change,103736.6,0.0,1245.05,1.42,22.77
2025-01-23 20:00:00,long,buy,103736.6,0.0,1244.98,-0.01,22.77
2025-01-23 22:00:00,long,sell - direction change,0.0,103006.9,1236.17,-0.71,22.06
2025-01-23 22:00:00,short,sell,0.0,103006.9,1236.1,-0.01,22.06
