datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-01 00:00:00,long,buy,93530.0,0.0,999.95,-0.01,-0.01
2025-01-01 12:00:00,long,sell - direction change,0.0,93393.3,998.44,-0.15,-0.16
2025-01-01 12:00:00,short,sell,0.0,93393.3,998.39,-0.01,-0.16
2025-01-01 14:00:00,short,buy - direction change,93985.9,0.0,992.0,-0.64,-0.8
2025-01-01 14:00:00,long,buy,93985.9,0.0,991.95,-0.01,-0.81
2025-01-01 20:00:00,long,sell - direction change,0.0,94583.4,998.21,0.63,-0.17
2025-01-01 20:00:00,short,sell,0.0,94583.4,998.16,-0.01,-0.18
2025-01-01 22:00:00,short,buy - direction change,94946.9,0.0,994.28,-0.39,-0.57
2025-01-01 22:00:00,long,buy,94946.9,0.0,994.23,-0.01,-0.57
2025-01-02 02:00:00,long,sell - direction change,0.0,94844.5,993.1,-0.11,-0.69
2025-01-02 02:00:00,short,sell,0.0,94844.5,993.05,-0.01,-0.69
2025-01-02 04:00:00,short,buy - direction change,94985.8,0.0,991.52,-0.15,-0.85
2025-01-02 04:00:00,long,buy,94985.8,0.0,991.48,-0.01,-0.85
2025-01-03 00:00:00,long,sell - direction change,0.0,96960.5,1012.04,2.07,1.22
2025-01-03 00:00:00,short,sell,0.0,96960.5,1011.99,-0.01,1.22
2025-01-03 06:00:00,short,buy - direction change,96729.4,0.0,1014.35,0.23,1.45
2025-01-03 06:00:00,long,buy,96729.4,0.0,1014.3,-0.01,1.45
2025-01-03 10:00:00,long,sell - direction change,0.0,96518.1,1012.03,-0.22,1.22
2025-01-03 10:00:00,short,sell,0.0,96518.1,1011.98,-0.01,1.22
2025-01-03 12:00:00,short,buy - direction change,96715.4,0.0,1009.86,-0.21,1.01
2025-01-03 12:00:00,long,buy,96715.4,0.0,1009.81,-0.01,1.0
2025-01-03 22:00:00,long,sell - direction change,0.0,98208.7,1025.35,1.54,2.54
2025-01-03 22:00:00,short,sell,0.0,98208.7,1025.3,-0.01,2.54
2025-01-04 08:00:00,short,buy - direction change,98235.0,0.0,1024.97,-0.03,2.51
2025-01-04 08:00:00,long,buy,98235.0,0.0,1024.92,-0.01,2.5
2025-01-04 10:00:00,long,sell - direction change,0.0,97661.3,1018.89,-0.59,1.91
2025-01-04 10:00:00,short,sell,0.0,97661.3,1018.83,-0.01,1.91
2025-01-04 14:00:00,short,buy - direction change,97929.9,0.0,1015.98,-0.28,1.63
2025-01-04 14:00:00,long,buy,97929.9,0.0,1015.93,-0.01,1.62
2025-01-04 16:00:00,long,sell - direction change,0.0,97617.4,1012.64,-0.32,1.3
2025-01-04 16:00:00,short,sell,0.0,97617.4,1012.59,-0.01,1.29
2025-01-04 20:00:00,short,buy - direction change,98129.3,0.0,1007.23,-0.53,0.76
2025-01-04 20:00:00,long,buy,98129.3,0.0,1007.18,-0.01,0.76
2025-01-04 22:00:00,long,sell - direction change,0.0,98336.3,1009.25,0.21,0.96
2025-01-04 22:00:00,short,sell,0.0,98336.3,1009.2,-0.01,0.96
2025-01-05 08:00:00,short,buy - direction change,98227.4,0.0,1010.27,0.11,1.06
2025-01-05 08:00:00,long,buy,98227.4,0.0,1010.22,-0.01,1.06
2025-01-05 10:00:00,long,sell - direction change,0.0,97616.4,1003.88,-0.63,0.43
2025-01-05 10:00:00,short,sell,0.0,97616.4,1003.83,-0.01,0.43
2025-01-05 12:00:00,short,buy - direction change,97607.6,0.0,1003.87,0.0,0.43
2025-01-05 12:00:00,long,buy,97607.6,0.0,1003.82,-0.01,0.43
2025-01-05 18:00:00,long,sell - direction change,0.0,97700.0,1004.72,0.09,0.52
2025-01-05 18:00:00,short,sell,0.0,97700.0,1004.67,-0.01,0.51
2025-01-05 20:00:00,short,buy - direction change,98049.2,0.0,1001.03,-0.36,0.15
2025-01-05 20:00:00,long,buy,98049.2,0.0,1000.98,-0.01,0.14
2025-01-06 22:00:00,long,sell - direction change,0.0,101545.7,1036.63,3.56,3.71
2025-01-06 22:00:00,short,sell,0.0,101545.7,1036.57,-0.01,3.7
2025-01-07 00:00:00,short,buy - direction change,102185.9,0.0,1029.99,-0.64,3.06
2025-01-07 00:00:00,long,buy,102185.9,0.0,1029.94,-0.01,3.06
2025-01-07 02:00:00,long,sell - direction change,0.0,101869.3,1026.69,-0.31,2.74
2025-01-07 02:00:00,short,sell,0.0,101869.3,1026.64,-0.01,2.74
2025-01-07 17:48:00,short,buy - take_profit,96775.83499999999,0.0,1077.92,5.0,7.73
2025-01-07 18:00:00,long,buy,97242.4,0.0,1077.87,-0.01,7.73
2025-01-08 14:00:00,long,sell - direction change,0.0,95348.0,1056.82,-1.95,5.78
2025-01-08 14:00:00,short,sell,0.0,95348.0,1056.76,-0.01,5.77
2025-01-08 16:00:00,short,buy - direction change,95455.3,0.0,1055.52,-0.12,5.65
2025-01-08 16:00:00,long,buy,95455.3,0.0,1055.47,-0.01,5.65
2025-01-08 17:31:00,long,sell - stop_loss,0.0,92591.641,1023.75,-3.0,2.64
