sma_window1,sma_window2,ema_window1,ema_window2,macd_fastperiod,macd_slowperiod,macd_signalperiod,adx_window,sar_acceleration,sar_maximum,obv_window,ad_window,adosc_fastperiod,adosc_slowperiod,mfi_window,custom_volume_window,rsi_window,stoch_fastk,stoch_slowk,stoch_slowk_matype,stoch_slowd,stoch_slowd_matype,cci_window,willr_window,mom_window,cmo_window,dx_window,macdext_fast,macdext_fast_matype,macdext_slow,macdext_slow_matype,macdext_signal,macdext_signal_matype,macdfix_window,minus_di_window,minus_dm_window,plus_di_window,plus_dm_window,ppo_fast,ppo_slow,ppo_matype,roc_window,rocp_window,rocr_window,rocr100_window,stochf_fastk,stochf_fastd,stochf_fastd_matype,stochrsi_time,stochrsi_fastk,stochrsi_fastd,stochrsi_fastd_matype,trix_window,ultosc_p1,ultosc_p2,ultosc_p3,atr_window,natr_window,trange_window,bbands_timeperiod,bbands_nbdevup,bbands_nbdevdn,bbands_matype,stddev_window,value
11,91,21,35,10,40,9,13,0.03291529537027869,0.4606396411347047,16,17,5,21,15,27,26,14,4,4,3,4,28,17,17,23,18,6,0,30,3,6,0,13,11,20,24,27,17,49,2,7,12,12,11,11,3,0,12,3,4,0,20,6,17,32,30,14,23,26,1.7002465887074263,1.8775165295852188,0,30,307.53
19,92,25,66,11,35,6,17,0.026647079410068913,0.11163883898855312,11,6,2,18,21,23,24,18,2,0,2,0,19,29,13,17,12,12,1,49,3,10,1,8,10,19,22,12,11,40,3,15,10,11,17,12,3,0,24,4,4,2,13,7,11,25,14,20,11,30,2.9716121479036266,2.853836642215128,4,19,308.31
7,87,24,37,7,49,14,27,0.011211989947761025,0.34978703757324225,18,19,3,19,15,31,17,11,2,1,3,3,17,19,17,26,17,8,3,35,2,5,1,11,27,13,10,12,19,28,3,19,15,5,9,11,4,1,23,5,3,1,21,7,13,26,13,11,21,11,2.3775796778209304,2.961946321369697,0,23,387.55
33,70,39,61,13,50,13,10,0.031342006081563914,0.37049216124111395,14,10,10,23,22,33,10,17,3,3,5,2,11,19,11,26,23,10,3,44,1,11,4,12,15,27,24,18,17,40,1,5,12,18,17,20,3,4,25,3,4,4,14,6,10,20,17,23,15,25,2.877009618453025,1.9079802121269387,2,30,270.7
9,78,21,75,6,24,14,15,0.03318818148483993,0.11224738590115604,10,15,4,16,27,40,23,9,4,0,2,3,24,26,6,23,23,12,3,35,0,14,1,15,15,29,28,13,14,24,0,15,14,11,14,19,4,3,18,5,5,2,11,10,19,39,28,12,14,19,2.7038005983400284,2.468656589096696,4,21,332.19
20,75,25,33,10,40,11,28,0.02195288840962936,0.4180702212958811,10,12,5,23,17,35,20,10,4,4,3,3,28,16,17,22,14,12,3,37,1,15,4,7,12,28,15,18,6,48,1,13,14,9,20,21,5,4,15,2,2,4,18,8,19,25,27,19,24,18,2.3820872731228273,2.5129812132556446,2,28,341.35
40,56,11,58,17,28,5,17,0.04493177561334395,0.437327961415406,18,17,5,23,26,11,17,7,5,2,5,3,25,14,11,17,24,14,0,33,3,11,1,9,29,20,17,25,9,50,3,15,19,10,20,13,5,3,10,3,4,4,23,8,14,22,27,20,11,24,2.0361661886123112,2.9134523677726287,0,23,310.24
40,42,13,36,8,30,10,18,0.03499614230807791,0.44264920215243486,26,20,5,20,14,28,30,14,5,2,2,3,26,30,9,12,24,7,2,30,1,15,2,15,16,27,15,29,9,27,1,18,10,9,7,10,2,0,30,4,3,3,22,8,14,26,13,15,18,10,1.7566569540306105,1.5464438719402018,4,16,398.4
21,44,13,50,20,43,7,30,0.020835179590744497,0.30198235205216145,14,19,2,21,15,26,15,14,3,1,5,4,10,19,13,23,23,13,4,39,1,15,0,7,30,17,16,22,20,39,2,12,6,9,12,13,5,3,25,4,5,0,18,7,16,26,11,26,12,12,2.398816660959884,1.7761514001196435,4,18,360.86
9,80,17,42,6,22,8,26,0.016515047090937412,0.21424458994746007,12,18,6,14,18,34,16,9,4,1,3,0,29,23,18,29,21,9,1,34,3,11,4,7,15,29,14,13,9,35,4,11,10,16,14,20,2,3,30,5,2,2,19,7,20,33,13,26,15,20,1.8908204767066996,2.0373245596554166,2,29,253.04
